Identifiant ArcGIS;Nom du site;Adresse;Code Site;Arrondissement;geo_shape;geo_point_2d
39;MAISON DES ACTEURS DU PARIS DURABLE;21, rue des Blancs Manteaux;PARIS_WIFI_0425;75004;"{""type"": ""Point"", ""coordinates"": [2.356873650564869, 48.859046787124726]}";48.8590467871, 2.35687365056
45;BIBLIOTHEQUE MOHAMMED ARKOUN - EX : MOUFFETARD;74, RUE MOUFFETARD;PARIS_WIFI_0504;75005;"{""type"": ""Point"", ""coordinates"": [2.349655223632121, 48.84249074764757]}";48.8424907476, 2.34965522363
2;MAIRIE  01 - BIBLIOTHEQUE LOUVRE;4, PLACE DU LOUVRE;PARIS_WIFI_0105;75001;"{""type"": ""Point"", ""coordinates"": [2.3411147324598485, 48.86010786537879]}";48.8601078654, 2.34111473246
67;BERGES DE SEINE - JARDIN FLOTTANT;PORT DU GROS CAILLOU;PARIS_WIFI_0710;75007;"{""type"": ""Point"", ""coordinates"": [2.3047189650116895, 48.86300228972848]}";48.8630022897, 2.30471896501
102;SQUARE JULIETTE DODU;ANGLE RUE JULIETTE DODU;PARIS_WIFI_1012;75010;"{""type"": ""Point"", ""coordinates"": [2.3691781839124846, 48.87557333035163]}";48.8755733304, 2.36917818391
46;BIBLIOTHEQUE PORT ROYAL;88 TER, BOULEVARD DE PORT ROYAL;PARIS_WIFI_0505;75005;"{""type"": ""Point"", ""coordinates"": [2.338846324612675, 48.83923878025884]}";48.8392387803, 2.33884632461
78;PARC MONCEAU (ALLEE CONTESSE DE SEGUR);1, PLACE DE LA REPUBLIQUE DOMINICAINE;PARIS_WIFI_0810;75008;"{""type"": ""Point"", ""coordinates"": [2.3084183225267885, 48.878946260533255]}";48.8789462605, 2.30841832253
22;HOTEL D ALBRET;31, RUE DES FRANCS BOURGEOIS;PARIS_WIFI_0408;75004;"{""type"": ""Point"", ""coordinates"": [2.360889308711995, 48.857544855951176]}";48.857544856, 2.36088930871
23;HOTEL DE VILLE (2E ETAGE);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0409;75004;"{""type"": ""Point"", ""coordinates"": [2.352774826515343, 48.856849760890654]}";48.8568497609, 2.35277482652
62;MAIRIE  07;116, RUE DE GRENELLE;PARIS_WIFI_0705;75007;"{""type"": ""Point"", ""coordinates"": [2.3202216118569146, 48.85678938488591]}";48.8567893849, 2.32022161186
13;MUSEE CARNAVALET;23, RUE DE SEVIGNE;PARIS-WIFI_0305;75003;"{""type"": ""Point"", ""coordinates"": [2.3628310083298305, 48.85705387711304]}";48.8570538771, 2.36283100833
26;HOTEL DE VILLE (4E ETAGE);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0412;75004;"{""type"": ""Point"", ""coordinates"": [2.3525743245474398, 48.856290379742596]}";48.8562903797, 2.35257432455
88;SQUARE MONTHOLON;RUE LA FAYETTE;PARIS_WIFI_0908;75009;"{""type"": ""Point"", ""coordinates"": [2.346727804989883, 48.87716543245961]}";48.8771654325, 2.34672780499
11;MAISON DES ASSOCIATIONS DU 03;2, RUE EUGENE SPULLER;PARIS-WIFI_0303;75003;"{""type"": ""Point"", ""coordinates"": [2.362232617607729, 48.86407366061126]}";48.8640736606, 2.36223261761
49;MAISON DES ASSOCIATIONS DU 05;4, RUE DES ARENES;PARIS_WIFI_0509;75005;"{""type"": ""Point"", ""coordinates"": [2.3542122811197523, 48.84510688598606]}";48.845106886, 2.35421228112
71;CENTRE D'ANIMATION ESPACE BEAUJON;208, RUE DU FAUBOURG SAINT HONORE;PARIS_WIFI_0803;75008;"{""type"": ""Point"", ""coordinates"": [2.304608355096973, 48.875361398114826]}";48.8753613981, 2.3046083551
75;MUSEE CERNUSCHI;7, AVENUE VELASQUEZ;PARIS_WIFI_0807;75008;"{""type"": ""Point"", ""coordinates"": [2.312362802778454, 48.879709402527524]}";48.8797094025, 2.31236280278
101;SQUARE AMADOU HAMPATE BA;17, RUE BOY ZELENSKI;PARIS_WIFI_1011;75010;"{""type"": ""Point"", ""coordinates"": [2.3682857660932704, 48.87744891926938]}";48.8774489193, 2.36828576609
187;JARDIN JULES NOEL;3, AVENUE MAURICE D'OCAGNE;PARIS_WIFI_1407;75014;"{""type"": ""Point"", ""coordinates"": [2.314724532752332, 48.824294428460405]}";48.8242944285, 2.31472453275
191;PARC MONTSOURIS;2, RUE GAZAN;PARIS_WIFI_1411;75014;"{""type"": ""Point"", ""coordinates"": [2.336452517695331, 48.824067926585286]}";48.8240679266, 2.3364525177
146;ECOLE DU BREUIL;ROUTE DE LA FERME;PARIS_WIFI_1225;75012;"{""type"": ""Point"", ""coordinates"": [2.459716037487984, 48.82414199112698]}";48.8241419911, 2.45971603749
158;JARDIN DE LA MONTGOLFIERE (ex MOULINET VANDREZANN);RUE DU MOULINET;PARIS_WIFI_1311;75013;"{""type"": ""Point"", ""coordinates"": [2.354051965235468, 48.82708735646411]}";48.8270873565, 2.35405196524
159;JARDIN MOULIN DE LA POINTE;68, RUE DU MOULIN DE LA POINTE;PARIS_WIFI_1312;75013;"{""type"": ""Point"", ""coordinates"": [2.356734021103359, 48.82106084744979]}";48.8210608474, 2.3567340211
123;ACTIVITES ARTISANALES ET CREATION;30, RUE DU FAUBOURG SAINT ANTOINE;PARIS_WIFI_1201;75012;"{""type"": ""Point"", ""coordinates"": [2.3717570603323734, 48.85238585519887]}";48.8523858552, 2.37175706033
205;CENTRE ANIMATION ESPACE CEVENNES;9, RUE DE LA MONTAGNE D'AULAS;PARIS_WIFI_1506;75015;"{""type"": ""Point"", ""coordinates"": [2.278908254507096, 48.84031683777133]}";48.8403168378, 2.27890825451
108;BIBLIOTHEQUE FAIDHERBE;18, RUE FAIDHERBE;PARIS_WIFI_1102;75011;"{""type"": ""Point"", ""coordinates"": [2.3839412265246525, 48.85159299158984]}";48.8515929916, 2.38394122652
